"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.3 for 2021-2022 @t1",
"e","r","","34","1659453925968","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","r",,"35","1659453925971","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","35","1659453925980","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","35","1659453926065","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","i","","35","1659453926066","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","i",,"36","1659453926066","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","36","1659453926076","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","36","1659453926186","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","v","","36","1659453926187","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","v",,"37","1659453926190","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","37","1659453926226","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"38","1659453926229","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","t","","38","1659453926324","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","t",,"39","1659453926328","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","39","1659453926406","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"40","1659453926420","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","40","1659453926525","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"41","1659453926526","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","c","","41","1659453926608","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","c",,"42","1659453926608","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","42","1659453926617","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","42","1659453926717","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","l","","42","1659453926718","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","l",,"43","1659453926721","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","43","1659453926729","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","43","1659453926787","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","43","1659453926788","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"44","1659453926791","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","s","","44","1659453926834","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","s",,"45","1659453926838","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","s","","45","1659453927015","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","s",,"46","1659453927023","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","46","1659453927174","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"47","1659453927175","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","L","","47","1659453927397","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","L",,"48","1659453927397","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","48","1659453927405","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","48","1659453927474","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","I","","48","1659453927475","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","I",,"49","1659453927474","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659453927721","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","I","48","1659453927723","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659453927855","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","L","47","1659453927856","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","N","","47","1659453928051","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","N",,"48","1659453928052","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","48","1659453928060","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","48","1659453928121","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","48","1659453928122","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"49","1659453928122","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","49","1659453928469","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"50","1659453928470","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","50","1659453928720","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"51","1659453928721","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","51","1659453929168","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"52","1659453929169","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","{","","52","1659453929853","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","}","","53","1659453929855","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","{",,"53","1659453929855","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","}",,"54","1659453929930","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659453930142","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659453930318","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","
    ","","53","1659453930320","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","54","1659453930326","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    ","","58","1659453930329","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","EditorChange",,,"1659453943493","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454029883","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","61","1659454029885","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","   
    ","58","1659454029887","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454030324","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","54","1659454030325","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    ","","58","1659454030327","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1659454034881","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454035092","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","P","","62","1659454039835","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","P",,"63","1659454039836","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","63","1659454039843","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454040412","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","P ","62","1659454040413","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","T","","62","1659454041556","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","T",,"63","1659454041557","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","63","1659454041564","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","63","1659454043126","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","63","1659454043131","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"64","1659454043131","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","64","1659454044874","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"65","1659454044874","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","65","1659454044880","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","65","1659454044964","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","65","1659454044965","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"66","1659454044964","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","t","","66","1659454045068","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","t",,"67","1659454045068","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","67","1659454045142","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"68","1659454045142","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","68","1659454046369","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",";",,"69","1659454046369","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454047576","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","        
","","70","1659454047578","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","N","","78","1659454057382","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","N",,"79","1659454057382","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","79","1659454057389","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","79","1659454057499","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","79","1659454057500","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"80","1659454057502","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","80","1659454057523","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","80","1659454057570","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","80","1659454057571","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"81","1659454057572","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","81","1659454057577","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","81","1659454057681","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","81","1659454057682","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"82","1659454057683","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","82","1659454057701","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","82","1659454057941","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","82","1659454057948","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"83","1659454057948","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","83","1659454058110","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"84","1659454058110","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","84","1659454058116","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","84","1659454058296","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","84","1659454058297","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"85","1659454058302","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","x","","85","1659454058462","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","x",,"86","1659454058462","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","t","","86","1659454058934","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","t",,"87","1659454058934","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","87","1659454059381","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",";",,"88","1659454059381","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","p","","62","1659454076753","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","p",,"63","1659454076754","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","p","62","1659454076767","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","p;","","62","1659454076767","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","",";","63","1659454076852","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","r","","63","1659454076853","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","r",,"64","1659454076854","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","64","1659454076869","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","",";","64","1659454076956","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","i","","64","1659454076957","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","i",,"65","1659454076958","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","v","","65","1659454077010","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","v",,"66","1659454077013","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","66","1659454077120","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"67","1659454077122","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","t","","67","1659454077209","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","t",,"68","1659454077212","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","68","1659454077280","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"69","1659454077286","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","69","1659454077358","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"70","1659454077358","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454077826","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1659454077960","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454078347","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","103","1659454078349","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454078443","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","108","1659454078445","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","p","","112","1659454078817","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","p",,"113","1659454078818","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","ivate ","64","1659454078823","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",";","","64","1659454078824","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","108","1659454078823","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","",";","64","1659454078823","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","ivate ","","64","1659454078824","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","113","1659454078929","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","u","","113","1659454078930","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","u",,"114","1659454078933","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","114","1659454078940","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","114","1659454079104","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","b","","114","1659454079105","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","b",,"115","1659454079106","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","l","","115","1659454079206","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","l",,"116","1659454079209","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","i","","116","1659454079295","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","i",,"117","1659454079297","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","c","","117","1659454079342","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","c",,"118","1659454079348","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","118","1659454079453","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"119","1659454079454","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","v","","119","1659454079563","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","v",,"120","1659454079563","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","120","1659454079570","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","120","1659454079679","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","120","1659454079680","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"121","1659454079682","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","121","1659454079688","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","121","1659454079714","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","i","","121","1659454079715","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","i",,"122","1659454079716","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","122","1659454079802","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"123","1659454079814","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","123","1659454079909","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"124","1659454079910","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","i","","124","1659454080023","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","i",,"125","1659454080023","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","125","1659454080032","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","125","1659454080089","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","125","1659454080090","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"126","1659454080094","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","s","","126","1659454080149","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","s",,"127","1659454080150","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","127","1659454080490","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"128","1659454080490","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","r","","128","1659454080633","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","r",,"129","1659454080633","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","t","","129","1659454080813","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","t",,"130","1659454080814","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","(","","130","1659454080992","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",")","","131","1659454080993","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","(",,"131","1659454080993","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k",")",,"132","1659454081054","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659454081289","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659454081653","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454082569","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","T","","131","1659454082960","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","T",,"132","1659454082960","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","132","1659454082966","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","132","1659454083076","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","132","1659454083083","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"133","1659454083084","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","133","1659454083508","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"134","1659454083509","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","134","1659454083517","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","134","1659454083622","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","134","1659454083623","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"135","1659454083622","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","t","","135","1659454083722","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","t",,"136","1659454083722","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","a","","136","1659454083841","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","a",,"137","1659454083842","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1659454083979","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","138","1659454084249","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"139","1659454084249","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","{","","139","1659454084414","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","}","","140","1659454084415","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","{",,"140","1659454084415","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","}",,"141","1659454084477","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1659454084677","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1659454084871","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","
    ","","140","1659454084872","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    
","","141","1659454084875","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","    ","","145","1659454084876","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","N","","149","1659454086033","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","N",,"150","1659454086033","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","ata","134","1659454086039","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","134","1659454086040","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","148","1659454086039","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","134","1659454086039","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","ata","","134","1659454086040","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","150","1659454086127","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","150","1659454086128","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"151","1659454086130","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","151","1659454086138","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","151","1659454086615","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","151","1659454086616","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"152","1659454086617","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","152","1659454086623","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","152","1659454086775","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","152","1659454086776","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"153","1659454086778","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","153","1659454086784","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","153","1659454086867","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","153","1659454086872","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"154","1659454086872","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","154","1659454086989","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"155","1659454086990","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","155","1659454086995","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","155","1659454087059","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","o","","155","1659454087060","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","o",,"156","1659454087061","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","d","","156","1659454087186","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","d",,"157","1659454087188","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","157","1659454087313","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"158","1659454087318","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","158","1659454087454","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"159","1659454087454","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","=","","159","1659454087530","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","=",,"160","1659454087531","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","160","1659454087645","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"161","1659454087645","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","n","","161","1659454087755","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","n",,"162","1659454087756","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","162","1659454087761","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","162","1659454087833","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","162","1659454087834","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"163","1659454087836","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","163","1659454087852","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e",""," ","163","1659454088277","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","e","","163","1659454088278","LinkedList.java","1.1.3 for 2021-2022 @t1",
"k","e",,"164","1659454088282","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e"," ","","164","1659454088287","LinkedList.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1659454088557","LinkedList.java","1.1.3 for 2021-2022 @t1",
"e","","e ","163","1659454088558","LinkedList.java","1.1.3 for 2021-2022 @t1",
