"a","ShowYourWork Init","","","000","ShowYourWork Init","1.1.3 for 2021-2022 @t1",
"e","t","","43","1658246619329","Student.java","1.1.3 for 2021-2022 @t1",
"k","t",,"44","1658246619328","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","44","1658246619332","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","44","1658246619461","Student.java","1.1.3 for 2021-2022 @t1",
"e","r","","44","1658246619462","Student.java","1.1.3 for 2021-2022 @t1",
"k","r",,"45","1658246619473","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","45","1658246619477","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","45","1658246619515","Student.java","1.1.3 for 2021-2022 @t1",
"e","i","","45","1658246619516","Student.java","1.1.3 for 2021-2022 @t1",
"k","i",,"46","1658246619516","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","46","1658246619520","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","46","1658246619571","Student.java","1.1.3 for 2021-2022 @t1",
"e","n","","46","1658246619572","Student.java","1.1.3 for 2021-2022 @t1",
"k","n",,"47","1658246619571","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","47","1658246619576","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","47","1658246619670","Student.java","1.1.3 for 2021-2022 @t1",
"e","g","","47","1658246619671","Student.java","1.1.3 for 2021-2022 @t1",
"k","g",,"48","1658246619670","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","48","1658246619676","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","48","1658246619757","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","48","1658246619758","Student.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"49","1658246619759","Student.java","1.1.3 for 2021-2022 @t1",
"e","n","","49","1658246619806","Student.java","1.1.3 for 2021-2022 @t1",
"k","n",,"50","1658246619806","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","50","1658246619811","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","50","1658246619942","Student.java","1.1.3 for 2021-2022 @t1",
"e","a","","50","1658246619943","Student.java","1.1.3 for 2021-2022 @t1",
"k","a",,"51","1658246619946","Student.java","1.1.3 for 2021-2022 @t1",
"e","m","","51","1658246619969","Student.java","1.1.3 for 2021-2022 @t1",
"k","m",,"52","1658246619970","Student.java","1.1.3 for 2021-2022 @t1",
"e",",","","52","1658246619986","Student.java","1.1.3 for 2021-2022 @t1",
"k",",",,"53","1658246619986","Student.java","1.1.3 for 2021-2022 @t1",
"e","e","","53","1658246620154","Student.java","1.1.3 for 2021-2022 @t1",
"k","e",,"54","1658246620155","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","54","1658246620159","Student.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1658246620362","Student.java","1.1.3 for 2021-2022 @t1",
"e","","e ","53","1658246620363","Student.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1658246620480","Student.java","1.1.3 for 2021-2022 @t1",
"e","",",","52","1658246620481","Student.java","1.1.3 for 2021-2022 @t1",
"e","e","","52","1658246620561","Student.java","1.1.3 for 2021-2022 @t1",
"k","e",,"53","1658246620561","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","53","1658246620565","Student.java","1.1.3 for 2021-2022 @t1",
"a","Right",,,"1658246620809","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","53","1658246621347","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","54","1658246621348","Student.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"55","1658246621348","Student.java","1.1.3 for 2021-2022 @t1",
"e","{","","55","1658246621446","Student.java","1.1.3 for 2021-2022 @t1",
"e","}","","56","1658246621447","Student.java","1.1.3 for 2021-2022 @t1",
"k","{",,"56","1658246621447","Student.java","1.1.3 for 2021-2022 @t1",
"k","}",,"57","1658246621518","Student.java","1.1.3 for 2021-2022 @t1",
"a","Left",,,"1658246621712","Student.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1658246621928","Student.java","1.1.3 for 2021-2022 @t1",
"e","
    ","","56","1658246621930","Student.java","1.1.3 for 2021-2022 @t1",
"e","    
","","57","1658246621932","Student.java","1.1.3 for 2021-2022 @t1",
"e","    ","","61","1658246621933","Student.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1658246622141","Student.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1658246622302","Student.java","1.1.3 for 2021-2022 @t1",
"a","Move Caret to Line End",,,"1658246622515","Student.java","1.1.3 for 2021-2022 @t1",
"a","Enter",,,"1658246622739","Student.java","1.1.3 for 2021-2022 @t1",
"e","
","","23","1658246622741","Student.java","1.1.3 for 2021-2022 @t1",
"e","    ","","23","1658246622742","Student.java","1.1.3 for 2021-2022 @t1",
"e","p","","27","1658246623184","Student.java","1.1.3 for 2021-2022 @t1",
"k","p",,"28","1658246623184","Student.java","1.1.3 for 2021-2022 @t1",
"e","","p
    ","27","1658246623190","Student.java","1.1.3 for 2021-2022 @t1",
"e","    p 
","","23","1658246623190","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","28","1658246623276","Student.java","1.1.3 for 2021-2022 @t1",
"e","r","","28","1658246623277","Student.java","1.1.3 for 2021-2022 @t1",
"k","r",,"29","1658246623279","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","29","1658246623288","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","29","1658246623361","Student.java","1.1.3 for 2021-2022 @t1",
"e","i","","29","1658246623362","Student.java","1.1.3 for 2021-2022 @t1",
"k","i",,"30","1658246623363","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","30","1658246623368","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","30","1658246623442","Student.java","1.1.3 for 2021-2022 @t1",
"e","v","","30","1658246623443","Student.java","1.1.3 for 2021-2022 @t1",
"k","v",,"31","1658246623444","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","31","1658246623448","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","31","1658246623496","Student.java","1.1.3 for 2021-2022 @t1",
"e","a","","31","1658246623497","Student.java","1.1.3 for 2021-2022 @t1",
"k","a",,"32","1658246623498","Student.java","1.1.3 for 2021-2022 @t1",
"e","t","","32","1658246623615","Student.java","1.1.3 for 2021-2022 @t1",
"k","t",,"33","1658246623616","Student.java","1.1.3 for 2021-2022 @t1",
"e","e","","33","1658246623682","Student.java","1.1.3 for 2021-2022 @t1",
"k","e",,"34","1658246623687","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","34","1658246623769","Student.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"35","1658246623769","Student.java","1.1.3 for 2021-2022 @t1",
"e","s","","35","1658246624208","Student.java","1.1.3 for 2021-2022 @t1",
"k","s",,"36","1658246624208","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","36","1658246624213","Student.java","1.1.3 for 2021-2022 @t1",
"a","Backspace",,,"1658246624433","Student.java","1.1.3 for 2021-2022 @t1",
"e","","s ","35","1658246624434","Student.java","1.1.3 for 2021-2022 @t1",
"e","S","","35","1658246624647","Student.java","1.1.3 for 2021-2022 @t1",
"k","S",,"36","1658246624648","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","36","1658246624652","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","36","1658246624739","Student.java","1.1.3 for 2021-2022 @t1",
"e","t","","36","1658246624740","Student.java","1.1.3 for 2021-2022 @t1",
"k","t",,"37","1658246624739","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","37","1658246624743","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","37","1658246624872","Student.java","1.1.3 for 2021-2022 @t1",
"e","r","","37","1658246624873","Student.java","1.1.3 for 2021-2022 @t1",
"k","r",,"38","1658246624891","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","38","1658246624896","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","38","1658246624947","Student.java","1.1.3 for 2021-2022 @t1",
"e","i","","38","1658246624948","Student.java","1.1.3 for 2021-2022 @t1",
"k","i",,"39","1658246624947","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","39","1658246624951","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","39","1658246624996","Student.java","1.1.3 for 2021-2022 @t1",
"e","n","","39","1658246624997","Student.java","1.1.3 for 2021-2022 @t1",
"k","n",,"40","1658246624996","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","40","1658246625000","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","40","1658246625098","Student.java","1.1.3 for 2021-2022 @t1",
"e","g","","40","1658246625099","Student.java","1.1.3 for 2021-2022 @t1",
"k","g",,"41","1658246625099","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","41","1658246625103","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","41","1658246625174","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","41","1658246625175","Student.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"42","1658246625175","Student.java","1.1.3 for 2021-2022 @t1",
"e","n","","42","1658246625239","Student.java","1.1.3 for 2021-2022 @t1",
"k","n",,"43","1658246625240","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","43","1658246625243","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","43","1658246625356","Student.java","1.1.3 for 2021-2022 @t1",
"e","a","","43","1658246625357","Student.java","1.1.3 for 2021-2022 @t1",
"k","a",,"44","1658246625360","Student.java","1.1.3 for 2021-2022 @t1",
"e","m","","44","1658246625432","Student.java","1.1.3 for 2021-2022 @t1",
"k","m",,"45","1658246625432","Student.java","1.1.3 for 2021-2022 @t1",
"e","e","","45","1658246625546","Student.java","1.1.3 for 2021-2022 @t1",
"k","e",,"46","1658246625546","Student.java","1.1.3 for 2021-2022 @t1",
"e",";","","46","1658246625912","Student.java","1.1.3 for 2021-2022 @t1",
"k",";",,"47","1658246625913","Student.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1658246626152","Student.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1658246626305","Student.java","1.1.3 for 2021-2022 @t1",
"e","t","","90","1658246626813","Student.java","1.1.3 for 2021-2022 @t1",
"k","t",,"91","1658246626813","Student.java","1.1.3 for 2021-2022 @t1",
"e","","ame;","43","1658246626818","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","43","1658246626819","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","88","1658246626818","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","43","1658246626818","Student.java","1.1.3 for 2021-2022 @t1",
"e","ame;","","43","1658246626819","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","91","1658246626891","Student.java","1.1.3 for 2021-2022 @t1",
"e","h","","91","1658246626892","Student.java","1.1.3 for 2021-2022 @t1",
"k","h",,"92","1658246626894","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","92","1658246626899","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","92","1658246626924","Student.java","1.1.3 for 2021-2022 @t1",
"e","i","","92","1658246626925","Student.java","1.1.3 for 2021-2022 @t1",
"k","i",,"93","1658246626926","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","93","1658246626930","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","93","1658246627041","Student.java","1.1.3 for 2021-2022 @t1",
"e","s","","93","1658246627042","Student.java","1.1.3 for 2021-2022 @t1",
"k","s",,"94","1658246627046","Student.java","1.1.3 for 2021-2022 @t1",
"e",".","","94","1658246627099","Student.java","1.1.3 for 2021-2022 @t1",
"k",".",,"95","1658246627100","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","95","1658246627104","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","95","1658246627227","Student.java","1.1.3 for 2021-2022 @t1",
"e","n","","95","1658246627228","Student.java","1.1.3 for 2021-2022 @t1",
"k","n",,"96","1658246627230","Student.java","1.1.3 for 2021-2022 @t1",
"e","a","","96","1658246627316","Student.java","1.1.3 for 2021-2022 @t1",
"k","a",,"97","1658246627319","Student.java","1.1.3 for 2021-2022 @t1",
"e","m","","97","1658246627386","Student.java","1.1.3 for 2021-2022 @t1",
"k","m",,"98","1658246627388","Student.java","1.1.3 for 2021-2022 @t1",
"e","e","","98","1658246627473","Student.java","1.1.3 for 2021-2022 @t1",
"k","e",,"99","1658246627479","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","99","1658246627757","Student.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"100","1658246627758","Student.java","1.1.3 for 2021-2022 @t1",
"e","=","","100","1658246627837","Student.java","1.1.3 for 2021-2022 @t1",
"k","=",,"101","1658246627837","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","101","1658246627986","Student.java","1.1.3 for 2021-2022 @t1",
"k"," ",,"102","1658246627986","Student.java","1.1.3 for 2021-2022 @t1",
"e","n","","102","1658246628058","Student.java","1.1.3 for 2021-2022 @t1",
"k","n",,"103","1658246628059","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","103","1658246628063","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","103","1658246628141","Student.java","1.1.3 for 2021-2022 @t1",
"e","a","","103","1658246628142","Student.java","1.1.3 for 2021-2022 @t1",
"k","a",,"104","1658246628143","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","104","1658246628147","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","104","1658246628214","Student.java","1.1.3 for 2021-2022 @t1",
"e","m","","104","1658246628215","Student.java","1.1.3 for 2021-2022 @t1",
"k","m",,"105","1658246628216","Student.java","1.1.3 for 2021-2022 @t1",
"e"," ","","105","1658246628221","Student.java","1.1.3 for 2021-2022 @t1",
"e",""," ","105","1658246628293","Student.java","1.1.3 for 2021-2022 @t1",
"e","e","","105","1658246628294","Student.java","1.1.3 for 2021-2022 @t1",
"k","e",,"106","1658246628299","Student.java","1.1.3 for 2021-2022 @t1",
"e",";","","106","1658246628719","Student.java","1.1.3 for 2021-2022 @t1",
"k",";",,"107","1658246628719","Student.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1658246628969","Student.java","1.1.3 for 2021-2022 @t1",
"a","Down",,,"1658246629102","Student.java","1.1.3 for 2021-2022 @t1",
"a","Up",,,"1658246629318","Student.java","1.1.3 for 2021-2022 @t1",
"a","EditorChange",,,"1658246630311","Student.java","1.1.3 for 2021-2022 @t1",
